Time	clk	rst	up_down	count
0ns	0	1	1	x
5ns	1	1	1	3
10ns	0	0	1	3
15ns	1	0	1	4
20ns	0	0	1	4
25ns	1	0	1	5
30ns	0	0	1	5
35ns	1	0	1	6
40ns	0	0	1	6
45ns	1	0	1	7
50ns	0	0	1	7
55ns	1	0	1	8
60ns	0	0	1	8
65ns	1	0	1	9
70ns	0	0	1	9
75ns	1	0	1	10
80ns	0	0	1	10
85ns	1	0	1	11
90ns	0	0	1	11
95ns	1	0	1	12
100ns	0	0	1	12
105ns	1	0	1	13
110ns	0	0	0	13
115ns	1	0	0	12
120ns	0	0	0	12
125ns	1	0	0	11
130ns	0	0	0	11
135ns	1	0	0	10
140ns	0	0	0	10
145ns	1	0	0	9
150ns	0	0	0	9
155ns	1	0	0	8
160ns	0	0	0	8
165ns	1	0	0	7
170ns	0	0	0	7
175ns	1	0	0	6
180ns	0	0	0	6
185ns	1	0	0	5
190ns	0	0	0	5
195ns	1	0	0	4
200ns	0	0	0	4
205ns	1	0	0	3
210ns	0	1	0	3
215ns	1	1	0	3
220ns	0	0	1	3
225ns	1	0	1	4
230ns	0	0	1	4
235ns	1	0	1	5
240ns	0	0	1	5
245ns	1	0	1	6
250ns	0	0	1	6
255ns	1	0	1	7
260ns	0	0	1	7
265ns	1	0	1	8
270ns	0	0	1	8
275ns	1	0	1	9
280ns	0	0	1	9
285ns	1	0	1	10
290ns	0	0	1	10
295ns	1	0	1	11
300ns	0	0	1	11
305ns	1	0	1	12
310ns	0	0	1	12
315ns	1	0	1	13
$finish called from file "testbench.sv", line 51.
$finish at simulation time               320000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 320000 ps
CPU Time:      0.460 seconds;       Data structure size:   0.0Mb
